Categories,Ticker Symbol,Stock Name,Open,Prev Close,Volume,Market Cap
Most Actives,F,Ford Motor Co,11.91,11.26,"90,786,462",$47.9B
Most Actives,TWTR,Twitter Inc,56.01,65.09,"88,378,799",$53.5B
Most Actives,GE,General Electric Co,13.16,13.21,"49,899,539",$119.0B
Most Actives,BAC,Bank of America Corp,40.80,41.11,"39,203,386",$338.0B
Most Actives,WFC,Wells Fargo & Co,11.91,11.26,"90,786,462",$47.9B
Most Actives,T,AT&T Inc,11.91,11.26,"90,786,462",$47.9B
Most Actives,XOM,Exxon Mobil Corp,11.91,11.26,"90,786,462",$47.9B
Most Actives,PFE,Pfizer Inc,11.91,11.26,"90,786,462",$47.9B
Most Actives,C,Citigroup Inc,11.91,11.26,"90,786,462",$47.9B
Most Actives,CCL,Carnival Corp,11.91,11.26,"90,786,462",$47.9B
Gainers,AON,Aon PLC,240.45,238.76,"4,096,882",$56.8B
Gainers,DLR,Digital Realty Trust Inc,149.90,149.04,"2,837,207",$43.4B
Gainers,AJG,Arthur J Gallagher & Co,141.80,140.75,"1,040,817",$28.3B
Gainers,CCL,Carnival Corp,27.00,27.21,"21,653,518",$27.2B
Gainers,F,Ford Motor Co,11.91,11.26,"90,786,462",$45.2B
Gainers,MO,Altria Group Inc,47.24,47.60,"11,634,872",$88.4B
Gainers,NCLH,Norwegian Cruise Line Holdings Ltd,29.96,30.31,"18,297,137",$11.5B
Gainers,RCL,Royal Caribbean Cruises Ltd,84.15,84.90,"3,741,218",$22.1B
Gainers,CNC,Centene Corp,60.56,60.59,"5,171,523",$36.0B
Gainers,DVA,DaVita Inc,113.92,114.47,"1,330,249",$12.4B
Losers,TWTR,Twitter Inc,56.01,65.09,"88,378,799",$44.1B
Losers,RMD,Resmed Inc,198.00,207.91,"1,526,090",$27.4B
Losers,FTV,Fortive Corp,73.69,74.86,"4,803,064",$24.0B
Losers,MRO,Marathon Oil Corp,11.50,11.73,"20,644,622",$8.9B
Losers,HAL,Halliburton Co,20.56,20.36,"8,428,268",$17.4B
Losers,GNRC,Generac Holdings Inc,335.25,337.18,"877,918",$20.4B
Losers,COP,ConocoPhillips,53.94,53.13,"9,448,197",$69.1B
Losers,JNPR,Juniper Networks Inc,26.38,26.35,"6,071,828",$8.3B
Losers,PXD,Pioneer Natural Resources Co,152.46,159.57,"1,599,953",$33.3B
Losers,CVX,Chevron Corp,104.72,106.90,"13,729,988",$198.7B
